ID,Werkzeug,Maschine,Qualitaetsparameter,Vorschub,Energieverbrauch,Ausschuss
14138,2,B,30.899999999999999,1.8,17.699999999999999,0
14139,3,B,17.199999999999999,2.3999999999999999,18.100000000000001,0
14140,2,A,26,1.3,16.600000000000001,0
14141,3,B,17,2.2999999999999998,16.800000000000001,0
14142,1,A,21.399999999999999,1.2,18.199999999999999,0
14143,1,B,28.800000000000001,1.2,15.1,0
14144,1,B,23.600000000000001,2.7999999999999998,16.5,0
14145,1,A,24.100000000000001,2.5,17.100000000000001,0
14146,2,A,29.699999999999999,1.1000000000000001,17.100000000000001,0
14147,2,B,25.600000000000001,1.8999999999999999,17,0
14148,1,A,22.199999999999999,2,17,0
14149,3,A,17.800000000000001,1.8999999999999999,19.600000000000001,0
14150,3,B,13.300000000000001,2.7000000000000002,21.800000000000001,1
14151,2,A,17,1.7,21.100000000000001,0
14152,1,A,22.300000000000001,1.3999999999999999,14.9,0
14153,3,B,21,1.8999999999999999,15,0
14154,1,B,26.600000000000001,2.2000000000000002,19.100000000000001,0
14155,3,B,27.399999999999999,1.1000000000000001,15.6,0
14156,3,A,11.4,1.6000000000000001,17.600000000000001,1
14157,3,B,18.399999999999999,2.7999999999999998,15.6,0
14158,3,B,18.300000000000001,2.3999999999999999,19.399999999999999,0
14159,1,A,21.699999999999999,1.2,15,0
14160,1,B,17.699999999999999,2.7000000000000002,17.300000000000001,0
14161,1,B,27,1.2,20.399999999999999,0
14162,3,B,20.899999999999999,1.8999999999999999,14.800000000000001,0
14163,1,A,15.800000000000001,2.3999999999999999,20.600000000000001,1
14164,2,A,23.199999999999999,1.3,16.100000000000001,0
14165,2,B,31.300000000000001,1.6000000000000001,18.399999999999999,0
14166,3,A,12.5,2.2999999999999998,17.199999999999999,1
14167,2,A,29.300000000000001,1.2,16,0
14168,1,B,29.300000000000001,1.1000000000000001,16.399999999999999,0
14169,3,A,13.199999999999999,2.3999999999999999,17.100000000000001,1
14170,1,B,28.899999999999999,1.2,15.199999999999999,0
14171,2,A,26.399999999999999,1.3,15.300000000000001,0
14172,2,B,22.5,2.8999999999999999,17.199999999999999,0
14173,3,A,17,2.7999999999999998,15.800000000000001,0
14174,1,A,24.800000000000001,1.8999999999999999,18.300000000000001,0
14175,1,B,28,1.2,16.800000000000001,0
14176,3,A,22.800000000000001,1.3,15.6,0
14177,2,A,29.699999999999999,1.2,17.100000000000001,0
14178,3,A,13.6,2.3999999999999999,16.399999999999999,1
14179,2,B,25.399999999999999,2.2999999999999998,16.100000000000001,0
14180,3,A,22.600000000000001,1.3,16.399999999999999,0
14181,2,B,31.100000000000001,1.6000000000000001,17.800000000000001,0
14182,1,A,25.199999999999999,1.1000000000000001,14.6,0
14183,2,A,21.899999999999999,1.6000000000000001,16.800000000000001,0
14184,2,A,23.100000000000001,1.3999999999999999,15.800000000000001,0
14185,2,A,23.699999999999999,2.2000000000000002,16.399999999999999,0
14186,3,B,27.399999999999999,1.2,15.800000000000001,0
14187,1,B,19.600000000000001,2.3999999999999999,21.399999999999999,0
14188,3,B,27.699999999999999,1,15.9,0
14189,1,A,19.800000000000001,2,17.800000000000001,0
14190,3,B,22.5,2.8999999999999999,15.5,0
14191,3,A,13.699999999999999,2.2999999999999998,19.800000000000001,1
14192,2,A,17,1.7,22.300000000000001,0
14193,1,A,21.699999999999999,1.8999999999999999,15.9,0
14194,1,A,20.100000000000001,1.6000000000000001,15.1,0
14195,1,A,19.100000000000001,2.2999999999999998,16.399999999999999,0
14196,1,A,19.199999999999999,2.1000000000000001,16.800000000000001,0
14197,3,A,11.5,1.6000000000000001,17.300000000000001,1
14198,2,A,26.199999999999999,1.2,16.399999999999999,0
14199,1,A,17.199999999999999,2.3999999999999999,15.699999999999999,0
14200,3,A,17.300000000000001,3.1000000000000001,17,0
14201,1,B,20.5,1.6000000000000001,17.699999999999999,0
14202,2,B,25,2.5,14.699999999999999,0
14203,1,A,19.199999999999999,2.1000000000000001,16.399999999999999,0
14204,3,A,21.300000000000001,1.3999999999999999,16,0
14205,1,B,20.600000000000001,1.5,17.800000000000001,0
14206,1,A,16.699999999999999,2.7999999999999998,15.1,1
14207,3,A,14.300000000000001,2.2000000000000002,19.699999999999999,1
14208,3,A,17.399999999999999,3,17.5,0
